Title,Genres,Release Date,Studio,Critic Score,Audience Score,Hint,Vibe Emojis,Description,TMDB Genres,TMDB Year,TMDB Studio,TMDB Rating,TMDB Number of Ratings,TMDB Country,TMDB Language,TMDB Poster URL,TMDB Trailer Link,TMDB Description,TMDB Runtime,TMDB Budget,TMDB Revenue,TMDB Popularity
Ringu,"Horror, Mystery, Thriller",1998-01-31,Omega Project,98,N/A,A journalist investigates a pattern of unexplained fatalities linked to a specific piece of magnetic media.,📼☎️📺💧🏚️👣⏳🌑👁️🗝️,"Following a sequence of sudden deaths among young adults, a media professional tracks the origin of a rumored visual recording that allegedly imposes a temporal constraint on the viewer.","Horror, Thriller",1998,"KADOKAWA Shoten, Omega Project, Rasen Production Committee, TOHO",7.083,1659,Japan,Japanese,https://image.tmdb.org/t/p/w500/1YINof6kN5yRdePEbcU5360ejoq.jpg,https://www.youtube.com/watch?v=yAmO3vanfDQ,"A mysterious video has been linked to a number of deaths, and when an inquisitive journalist finds the tape and views it herself, she sets in motion a chain of events that puts her own life in danger.",96,1200000,19400000,6.9119
Steve Jobs,"Biography, Drama",2015-10-09,Universal Pictures,85,N/A,The narrative structure revolves around backstage tensions immediately preceding three separate technology product launches.,💻⌚🍎🗣️🎭🏢🎙️🧥📽️📈,A biographical analysis of the interpersonal and professional conflicts surrounding a major technological innovator during three distinct eras of industry growth.,"Drama, History",2015,"Scott Rudin Productions, The Mark Gordon Company, Cloud Eight Films, Decibel Films, Entertainment 360, Universal Pictures, Legendary Pictures",6.774,4377,"United States of America, United Kingdom",English,https://image.tmdb.org/t/p/w500/ljiRO29Y9khEERRqMluptUYunJ9.jpg,https://www.youtube.com/watch?v=9XEh7arNSms,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.",122,30000000,34400000,2.8184
The Rainmaker,"Legal Drama, Thriller",1997-11-21,Paramount Pictures,82,N/A,An idealistic law school graduate navigates the complexities of the American legal system while litigating a civil suit against a large corporate entity.,⚖️💼🏥🌧️🏙️📜💊💼📉🏛️,A legal drama centered on an inexperienced attorney who initiates litigation against a powerful insurance conglomerate regarding a denied medical claim.,"Drama, Crime, Thriller",1997,"Douglas/Reuther Productions, American Zoetrope, Constellation Films",7.027,1490,United States of America,English,https://image.tmdb.org/t/p/w500/twLGHXPjQtS8UyVGp5GXmhJiTM7.jpg,https://www.youtube.com/watch?v=Odb3LrbvS_0,"Fresh out of law school and desperate for work, idealistic rookie Rudy Baylor takes on a powerful insurance company accused of denying a dying boy’s claim. Teaming up with a scrappy, unlicensed paralegal, he finds himself in a David-versus-Goliath courtroom battle that tests his ethics, courage, and belief in justice.",135,40000000,45916769,3.4059
Silverado,"Western, Action, Adventure",1985-07-10,Columbia Pictures,78,N/A,Four disparate travelers unite to confront a local power structure in a frontier settlement.,🐎🤠🌵🏜️🔫💰🚂⭐🏛️🛤️,The narrative follows an ensemble of frontiersmen who converge on a developing town to challenge entrenched local authority and resolve territorial conflicts.,"Western, Action, Drama",1985,Columbia Pictures,6.951,820,United States of America,English,https://image.tmdb.org/t/p/w500/k6zurzegRKsNGMICXZ57VJDUzXO.jpg,https://www.youtube.com/watch?v=oPLSventoUI,"Four unwitting heroes cross paths on their journey to the sleepy town of Silverado. Little do they know the town where their family and friends reside has been taken over by a corrupt sheriff and a murderous posse. It's up to the sharp-shooting foursome to save the day, but first they have to break each other out of jail, and learn who their real friends are.",133,23000000,32192570,2.9962
The Bank Job,"Crime, Thriller, Drama",2008-03-07,Lionsgate,79,N/A,"A group of individuals executes a subterranean breach of a financial institution, inadvertently recovering sensitive government materials.",🏦🕳️🕵️‍♂️💼🇬🇧☎️📂👑💎🚗,"Set in 1971 London, the narrative follows a team of opportunists who tunnel into a bank vault, only to find themselves entangled in a web of corruption involving various high-level agencies.","Thriller, Crime, Drama",2008,"Omnilab Media, Mosaic Media Group, Relativity Media, Skyline (Baker St), Arclight Films, Lionsgate",6.8,2624,"Australia, United Kingdom, United States of America",English,https://image.tmdb.org/t/p/w500/bfXjFTytfFTdo9WeO7lYqzkHG7g.jpg,https://www.youtube.com/watch?v=tdiWAhlVOBY,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime.",112,20000000,64828421,3.7005
The Doors,"Biography, Drama, Music",1991-03-01,TriStar Pictures,56,N/A,A chronicle of a Los Angeles rock group’s rise to prominence and the subsequent trajectory of its lead vocalist during the late 1960s.,🎤🎸🦎🌵🕶️🎶🎞️🥃🔥🌅,"This biographical film examines the formation and career of an influential American rock band, focusing on the professional and personal developments of its primary lyricist.","Music, Drama",1991,"Carolco Pictures, Bill Graham Films, Imagine Entertainment, Ixtlan Productions",7.114,1605,United States of America,English,https://image.tmdb.org/t/p/w500/x1LM3dzGuG6xOz0aT2e71o11vhu.jpg,https://www.youtube.com/watch?v=qJu9nfVCQmk,"The story of the famous and influential 1960s rock band and its lead singer and composer, Jim Morrison.",140,38000000,34416893,2.8033
An American Crime,"Biography, Crime, Drama",2007-01-19,First Look International,46,N/A,A domestic environment in mid-century Indiana becomes the site of a legal investigation regarding the guardianship of two sisters.,🏚️⚖️⛓️🥛🗞️🏠👧🏽🧥🤐🕰️,This biographical drama explores the recorded events surrounding a household in 1960s suburban Indianapolis and the subsequent judicial proceedings.,"Crime, Drama, Horror",2007,"First Look International, Killer Films, John Wells Productions",7.292,773,United States of America,English,https://image.tmdb.org/t/p/w500/bLsE0sMI1bycBxZX7QNYghy5iyi.jpg,https://www.youtube.com/watch?v=Yn-RqhFl3Xs,"The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.",97,2000000,,2.0764
The Young Victoria,"Biography, Drama, History, Romance",2009-12-18,GK Films,76,N/A,A young monarch navigates political pressures and familial expectations during the early years of her reign in 19th-century Britain.,👑🏰🖋️💍🇬🇧📜🎻🐎🎭💂,"This biographical drama examines the early years of a British queen, detailing her struggle for independence from her mother's influence and her evolving partnership with her consort.","Drama, History, Romance",2009,"GK Films, Mandate International, Sikelia Productions",7.2,1065,United States of America,"English, German",https://image.tmdb.org/t/p/w500/iGyuReyij3bPCtzJdSjTR8PR0pa.jpg,https://www.youtube.com/watch?v=MElrsyE_QAM,"As the only legitimate heir of England's King William, teenage Victoria gets caught up in the political machinations of her own family. Victoria's mother wants her to sign a regency order, while her Belgian uncle schemes to arrange a marriage between the future monarch and Prince Albert, the man who will become the love of her life.",105,35000000,29196409,1.9503
The Professor and the Madman,"Biography, Drama, History",2019-05-10,Vertical Entertainment,41,N/A,An academic researcher and an institutionalized individual collaborate remotely on the compilation of a comprehensive lexicon.,📖✍️🏢🧠🕰️🗞️📜🏛️🧐🤝,"Set in the mid-19th century, the narrative follows James Murray's efforts to compile the Oxford English Dictionary, receiving significant contributions from William Chester Minor while the latter is confined to an asylum.","History, Drama, Mystery, Thriller",2019,"Fastnet Films, 22H22, Caviar Antwerp NV, Definition Films, Zik Zak Filmworks, Voltage Pictures, Fábrica de Cine, Icon Productions",7.127,1289,"France, Ireland, Mexico, United States of America, Iceland, Belgium",English,https://image.tmdb.org/t/p/w500/gtGCDLhfjW96qVarwctnuTpGOtD.jpg,https://www.youtube.com/watch?v=tO0TbcAkhYY,"Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid 19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.",124,25000000,4957273,1.7369
Two-Lane Blacktop,"Drama, Road Movie",1971-07-07,Universal Pictures,93,N/A,A cross-country vehicle race serves as the primary narrative framework for an exploration of mid-century automotive subculture.,🛣️🏎️💨⛽🌅🎸🌫️🏜️🏁🌑,"Directed by Monte Hellman, this existentialist road film features a cast of non-professional actors playing nomadic characters who challenge a rival driver to a long-distance race across the United States in a 1955 Chevrolet.",Drama,1971,"Universal Pictures, Michael Laughlin Enterprises",6.944,252,United States of America,English,https://image.tmdb.org/t/p/w500/8GSjw941Maq4oDvbYqbyc6UM8WH.jpg,https://www.youtube.com/watch?v=J5sxfIBCTY0,A driver and mechanic drag racing for money cross paths with a female hitchhiker and a drifter who challenges them to a cross-country race.,102,850000,,1.1615
Rise of the Guardians,"Animation, Adventure, Family, Fantasy",2012-11-21,DreamWorks Animation,74,N/A,A collective of mythical figures recruits a solitary spirit to mitigate a pervasive threat to children's beliefs.,❄️✨🎅🐰🦷🧚💤🌙🛡️👦,"The film follows a group of legendary figures known as the Guardians who protect the world's children from darkness, enlisting a new member to assist in their defense against a returning antagonist.","Action, Adventure, Animation, Family, Fantasy",2012,DreamWorks Animation,7.376,7156,United States of America,"French, English",https://image.tmdb.org/t/p/w500/yfzmfWGjcmyugH6FZ13WcsUGiNj.jpg,https://www.youtube.com/watch?v=aPLiBxhoug0,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",97,145000000,306941670,6.4403
A Beautiful Day in the Neighborhood,"Biography, Drama",2019-11-22,TriStar Pictures,95,N/A,A cynical journalist undergoes a shift in perspective while profiling a well-known public broadcaster for a magazine feature.,👟🧣🚃📺📸✍️🕊️🏙️🧥🏡,"A cynical journalist is assigned to write a profile on a beloved television figure, leading to a professional and personal exploration of forgiveness and human connection.","History, Family, Drama",2019,"TriStar Pictures, Tencent Pictures, Big Beach",6.971,1755,"China, United States of America",English,https://image.tmdb.org/t/p/w500/p9vCAVhDK375XyobVcKqzqzsUHE.jpg,https://www.youtube.com/watch?v=eTWP0NwHuhc,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",109,25000000,67900000,2.3341
T2 Trainspotting,"Drama, Crime",2017-01-27,Sony Pictures Releasing,81,N/A,A man returns to his Scottish roots after two decades to reconcile with former acquaintances amidst shifting socio-economic conditions.,🏴󠁧󠁢󠁳󠁣󠁴󠁿🏃‍♂️🍺🏚️💼📼🏙️💉💊🫂,"Set twenty years after previous events, the narrative explores themes of nostalgia and reconciliation as a protagonist returns to his point of origin.","Drama, Comedy, Crime",2017,"Creative Scotland, DNA Films, Decibel Films, Film4 Productions, Cloud Eight Films, TriStar Pictures, LStar Capital",6.938,3359,"United Kingdom, United States of America","Bulgarian, English",https://image.tmdb.org/t/p/w500/xlbpCwa9OXXIiNgXcwuompHFIk9.jpg,https://www.youtube.com/watch?v=hIWJ-mhg7vE,"After 20 years abroad, Mark Renton returns to Scotland and reunites with his old friends Sick Boy, Spud and Begbie.",117,18000000,41681746,2.2555
Sleeping Beauty,"Animation, Fantasy, Musical, Family",1959-01-29,Walt Disney Productions,90,N/A,An adversarial entity imposes a sleep-inducing condition upon a royal figure during a formal rite of passage.,👸🏰🧚🐉🧵😴⚔️✨🎶👑,A feature-length animated adaptation of the Perrault fairy tale concerning a multi-generational curse and the resulting efforts of supernatural intermediaries to mitigate its effects.,"Fantasy, Animation, Romance, Family",1959,Walt Disney Productions,6.947,5482,United States of America,English,https://image.tmdb.org/t/p/w500/n3pxoMDDxp10c1smgbDzW4bwlzq.jpg,https://www.youtube.com/watch?v=EGHtRCKx4w4,"Cursed to die by the evil fairy Maleficent when she was a baby, Princess Aurora is sent into hiding under protection from three good fairies. As she grows up far away, Maleficent becomes increasingly determined to seal the princess's fate.",75,6000000,51600000,7.6375
Runaway Train,"Action, Drama, Thriller",1985-12-06,Cannon Films,86,N/A,Fugitives navigate a mechanical failure involving a heavy locomotive across a subarctic landscape.,🚂❄️⛓️🛤️🏃💨🥶⚙️🔩🏔️,"An existential action thriller based on an original screenplay by Akira Kurosawa, depicting two escaped convicts and a railway employee trapped on a pilotless freight train in the Alaskan wilderness.","Action, Thriller, Drama, Adventure",1985,"Golan-Globus Productions, Northbrook Films, The Cannon Group",7,657,United States of America,English,https://image.tmdb.org/t/p/w500/yEvMuhIdwPhhEtikAihxUTM1u75.jpg,https://www.youtube.com/watch?v=nOgYzEV-XFQ,A hardened convict and a younger prisoner escape from a brutal prison in the middle of winter only to find themselves on an out-of-control train with a female railway worker while being pursued by the vengeful head of security.,111,9000000,7936012,2.1849
August: Osage County,Drama,2013-12-27,The Weinstein Company,67,N/A,A multi-generational family returns to an Oklahoma homestead following the disappearance of the patriarch.,🏠💊☀️🚜👩‍👧‍👧🥃🔥🏚️🤐🎭,"A cinematic adaptation of Tracy Letts' Pulitzer Prize-winning play, the narrative examines the interpersonal dynamics and historical conflicts within an Oklahoma family during a midsummer gathering.","Comedy, Drama",2013,"Jean Doumanian Productions, Smokehouse Pictures, Battle Mountain Films, Yucaipa Films, The Weinstein Company",6.9,1592,United States of America,English,https://image.tmdb.org/t/p/w500/fvjxr77dfxdIOY3lvj0bHP4B5xT.jpg,https://www.youtube.com/watch?v=xd0qcN7sexI,"An intense look at the lives of the strong-willed daughters of the Weston family, whose paths have diverged until a family crisis brings them back to the Midwest house they grew up in, and to the dysfunctional mother who raised them.",121,25000000,74188937,1.9031
An American in Paris,"Musical, Romance, Comedy",1951-11-09,Metro-Goldwyn-Mayer,95,N/A,A former soldier seeks artistic success and navigates social circles in a post-war European capital.,🎨🇫🇷💃🕺🎺🎼🍷🌇🥖🚲,"An expatriate veteran establishes a life in Paris to pursue painting, leading to a series of romantic complications set against a backdrop of symphonic music and choreographed sequences.","Music, Romance, Comedy",1951,Metro-Goldwyn-Mayer,7,647,United States of America,"English, French, German",https://image.tmdb.org/t/p/w500/lyDXkvG53ldz6Cf7dbjJl7TaoP5.jpg,https://www.youtube.com/watch?v=1XMXAleA1eQ,"Jerry Mulligan is an exuberant American expatriate in Paris trying to make a reputation as a painter. His friend Adam is a struggling concert pianist who's a long time associate of a famous French singer, Henri Baurel. A lonely society woman, Milo Roberts, takes Jerry under her wing and supports him, but is interested in more than his art.",113,5635000,6981000,1.4951
Stuck in Love.,"Comedy, Drama, Romance",2013-07-05,Millennium Entertainment,58,N/A,A family of literary professionals navigates various stages of interpersonal attachment and creative development over the course of a single calendar year.,✍️📖🏡🍂🍷🎧💔📝🚲🥀,The narrative follows a successful novelist and his two children as they process familial transitions and romantic developments within their coastal residence.,"Drama, Comedy, Romance",2013,"MICA Entertainment, The Solution, Informant Films",7.373,2014,United States of America,English,https://image.tmdb.org/t/p/w500/byic4VFVrpPyjDWK54CcsxYWW85.jpg,https://www.youtube.com/watch?v=hEYN-c8kR6A,"An acclaimed writer, his ex-wife, and their teenaged children come to terms with the complexities of love in all its forms over the course of one tumultuous year.",97,,977671,2.9908
Star Trek VI: The Undiscovered Country,"Science Fiction, Action, Adventure, Thriller",1991-12-06,Paramount Pictures,83,N/A,Intergalactic peace negotiations are jeopardized by a high-profile assassination and subsequent judicial proceedings in a remote penal colony.,🚀🌌🤝⚖️💣🔭🧊🖖🚢🎖️,"Following an ecological disaster on a primary planetary moon, a diplomatic delegation attempts to negotiate a peace treaty between two long-standing rival space-faring powers amidst internal sabotage.","Science Fiction, Action, Adventure, Thriller",1991,Paramount Pictures,7.036,1417,United States of America,English,https://image.tmdb.org/t/p/w500/tvTOJD7Gz668GLy2nNdLRQvpPsv.jpg,https://www.youtube.com/watch?v=tUQtoL6LpMU,"After years of war, the Federation and the Klingon empire find themselves on the brink of a peace summit when a Klingon ship is nearly destroyed by an apparent attack from the Enterprise. Both worlds brace for what may be their deadliest encounter.",110,27000000,96888996,2.2806
Chasing Amy,"Comedy, Drama, Romance",1997-04-04,Miramax Films,87,N/A,A commercial illustrator navigates shifting interpersonal dynamics and social boundaries within the independent publishing industry.,🎨💬🗽💔🏙️🖊️🛋️🍻🚶‍♂️🏳️‍🌈,A narrative focusing on the evolving relationship between two creative professionals as they reconcile personal expectations with complex social realities.,"Comedy, Drama, Romance",1997,"View Askew Productions, Miramax",6.749,1549,United States of America,English,https://image.tmdb.org/t/p/w500/tqydORBcNlQxy3ijgSpPurgDHM2.jpg,https://www.youtube.com/watch?v=2PwIAmcrr3E,"Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",114,250000,12021272,2.351
Anthropoid,"History, Thriller, War, Drama",2016-08-12,LD Entertainment,67,N/A,Two soldiers return to their occupied homeland to execute a high-stakes tactical operation against a central administrative figure.,🇨🇿🔫💂‍♂️📜🌧️🏢⛪🏙️🧥🤝,The film chronicles the structural execution of a high-priority military mission in occupied Prague during World War II.,"History, Thriller, War",2016,"22H22, Lucky Man Films, Silver A, LD Entertainment",7.14,1154,"Czech Republic, France, United States of America, United Kingdom","Czech, German, English",https://image.tmdb.org/t/p/w500/5hUghRVVkBYufftfNQkGevY5AmE.jpg,https://www.youtube.com/watch?v=fgR1jhEt37Y,"In December 1941, Czech soldiers Jozef Gabčík and Jan Kubiš parachute into their occupied homeland to assassinate Nazi officer Reinhard Heydrich.",120,,4600000,2.9267
Muriel's Wedding,"Comedy, Drama, Romance",1994-09-29,House & Moorhouse Films,78,N/A,A socially marginalized individual in a coastal Australian town utilizes specific musical and matrimonial goals to restructure her identity.,👗👰🎵🇦🇺🕺💒📼💔💅🌞,"A young woman living in the fictional town of Porpoise Spit struggles with social isolation and familial expectations, eventually relocating to a metropolitan environment to pursue self-actualization through unconventional means.","Comedy, Drama, Romance",1994,"CiBy 2000, Film Victoria, House & Moorhouse Films",6.8,490,"Australia, France","English, Japanese",https://image.tmdb.org/t/p/w500/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg,https://www.youtube.com/watch?v=JJVWXHRDqec,"Socially awkward Muriel Heslop wants nothing more than to get married. Unfortunately, due to her oppressive politician father, Muriel has never even been on a date. Ostracized by her more socially adept friends, Muriel runs into fellow outcast Rhonda Epinstalk, and the two move from their small Australian town to the big city of Sydney, where Muriel changes her name and begins the arduous task of redesigning her life to match her fantasies.",106,3000000,15119639,2.0736
Them!,"Sci-Fi, Horror, Thriller",1954-06-19,Warner Bros.,93,N/A,Anomalous biological specimens emerge from a desert test site to challenge regional and urban security infrastructure.,🐜☢️🏜️🔦🚓🚁🏙️🔬📻📉,A seminal mid-century procedural drama detailing the discovery of irradiated lifeforms and the subsequent multi-agency containment operation spanning the American Southwest to the Los Angeles sewage system.,"Science Fiction, Horror",1954,Warner Bros. Pictures,6.8,462,United States of America,English,https://image.tmdb.org/t/p/w500/tP352STF6BvSROi8K3CMM799TVo.jpg,https://www.youtube.com/watch?v=CugQcmapiwc,"As a result of nuclear testing, gigantic, ferocious mutant ants appear in the American desert southwest, and a father-daughter team of entomologists join forces with the state police officer who first discovers their existence, an FBI agent and, eventually, the US Army to  eradicate the menace, before it spreads across the continent — and the world.",94,23000000,,2.747
Sleep Tight,"Thriller, Horror, Drama",2011-10-14,Filmax Entertainment,75,N/A,An apartment building concierge meticulously manages the environments and routines of the residents he serves.,🏢🔑🤫🛌🏙️📱🧹⚖️🎭🌑,"Set within a residential complex in Barcelona, the narrative explores the proximity-based interactions between a service employee and the building's various tenants.","Thriller, Horror",2011,"Cubica, Coser y Cantar, Castelao Pictures",7.057,1221,Spain,Spanish,https://image.tmdb.org/t/p/w500/i44Mr6t3reXt7z28OMCPZTllRfr.jpg,https://www.youtube.com/watch?v=1sMBbvc2o_M,"César, an unhappy concierge, maintains a peculiar relationship with the very diverse inhabitants of the upper-class apartment building where he works in Barcelona.",101,5000000,8791590,1.7557
The Dead Zone,"Thriller, Drama, Sci-Fi",1983-10-21,Paramount Pictures,90,N/A,A schoolteacher experiences a neurological shift that allows for the perception of future events after recovering from a traumatic injury.,❄️🔮🧥🧠🏫🤝🗳️🐕🌨️🔫,"A teacher emerges from a multi-year coma with the ability to perceive a person's future through physical touch, necessitating a choice regarding a potential global catastrophe.","Thriller, Horror, Science Fiction",1983,"The De Laurentiis Company, Lorimar Motion Pictures",7.01,1831,"United States of America, Canada","English, Russian",https://image.tmdb.org/t/p/w500/9yTVaeS8eIkOpbwIycVFm7EQrgF.jpg,https://www.youtube.com/watch?v=qxJp_VQ5VUk,"Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact.",103,10000000,20766616,2.566
The Italian Job,"Action, Comedy, Crime",1969-06-02,Paramount Pictures,83,N/A,A group of professionals utilizes specialized transport vehicles to execute a logistical operation involving a major city's infrastructure and security.,🇮🇹🚗💨💰🕶️🇬🇧🌉🚔🏗️🏁,The narrative follows a meticulously planned heist involving the redirection of urban traffic flow to facilitate the transport of high-value assets across international borders.,"Crime, Comedy, Thriller",1969,Oakhurst Productions,6.941,867,United Kingdom,"English, Italian",https://image.tmdb.org/t/p/w500/8NOw3HPHkcBndJW2K6ofbcSb7WD.jpg,https://www.youtube.com/watch?v=E41MDJjE87s,"Charlie's got a 'job' to do. Having just left prison he finds one of his friends has attempted a high-risk job in Torino, Italy, right under the nose of the mafia. Charlie's friend doesn't get very far, so Charlie takes over the 'job'. Using three Mini Coopers, a couple of Jaguars, and a bus, he hopes to bring Torino to a standstill, steal a fortune in gold and escape in the chaos.",99,3000000,,3.4554
The Light Between Oceans,"Drama, Romance",2016-09-02,DreamWorks Pictures,61,N/A,A maritime custodian and his partner encounter a drifting vessel containing an infant and face the subsequent moral implications of their actions.,🌊💡🛶👶🏝️⛈️🐚📜⚓😢,"Following the First World War, a lighthouse keeper and his wife residing on a remote island discover a rowboat containing a deceased man and a living infant, prompting a series of decisions regarding the child's provenance.","Drama, Romance",2016,"DreamWorks Pictures, Reliance Entertainment, Participant, Heyday Films",7.068,1427,"India, United Kingdom, United States of America",English,https://image.tmdb.org/t/p/w500/c9S6VKZPllNgdxBUuI3GYJiqcKO.jpg,https://www.youtube.com/watch?v=w51IR_BFGyc,A lighthouse keeper and his wife living off the coast of Western Australia raise a baby they rescue from an adrift rowboat.,133,20000000,25975621,1.9613
Michael Clayton,"Drama, Mystery, Thriller",2007-10-05,Warner Bros. Pictures,91,N/A,A legal professional specializing in problem resolution navigates a complex corporate liability case involving internal dissent.,⚖️💼🌃🏢🤝🚗💸🤫🕰️📉,A fixer at a high-stakes New York law firm manages a volatile situation when a lead attorney suffers a mental breakdown while defending a chemical corporation in a multi-billion dollar class-action lawsuit.,"Drama, Thriller, Crime",2007,"Castle Rock Entertainment, Mirage Enterprises, Section Eight, Samuels Media",6.793,1988,United States of America,English,https://image.tmdb.org/t/p/w500/hhkW4yVIGo8Bee3UITKvqOvhNMG.jpg,https://www.youtube.com/watch?v=OKDiHrQABwI,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multi-billion dollar class action suit.",120,25000000,92991835,2.6971
The Fox and the Hound,"Animation, Adventure, Drama, Family",1981-07-10,Walt Disney Productions,70,N/A,Two distinct biological species establish a social bond in their developmental stages that faces external pressure from traditional human activities.,🦊🐶🌲🔫🏚️🤝💔🍂🐾🛶,The film examines the social development and subsequent conflict between two juvenile animals of different species as they navigate the transition into adulthood within a rural environment.,"Adventure, Animation, Drama, Family",1981,Walt Disney Productions,7.146,3491,United States of America,English,https://image.tmdb.org/t/p/w500/aC3k6XBaYnulGSkK8263ABjU3Md.jpg,https://www.youtube.com/watch?v=obbTbAQMaqk,"When a feisty little fox named Tod is adopted into a farm family, he quickly becomes friends with a fun and adorable hound puppy named Copper. Life is full of hilarious adventures until Copper is expected to take on his role as a hunting dog -- and the object of his search is his best friend!",82,12000000,29800000,5.6792
St. Vincent,"Comedy, Drama",2014-10-24,The Weinstein Company,77,N/A,An unconventional neighbor is recruited to provide childcare for a young boy following a family relocation.,👴🍺🚬📉👦🏦🏥⛪🥊🚲,The narrative explores the developing interpersonal dynamic between a retired veteran and the young son of a neighboring single parent.,Comedy,2014,"Chernin Entertainment, The Weinstein Company, Crescendo Productions, Goldenlight Films",7.113,2059,United States of America,English,https://image.tmdb.org/t/p/w500/1bb7MTHCIPhpKZFysDpxNaNrdMk.jpg,https://www.youtube.com/watch?v=hAx6-bW7EuM,"A young boy whose parents just divorced finds an unlikely friend and mentor in the misanthropic, bawdy, hedonistic, war veteran who lives next door.",102,13000000,54837234,2.8885
Quills,"Drama, History, Biography",2000-11-22,Fox Searchlight Pictures,75,N/A,A prolific writer in an eighteenth-century asylum navigates administrative restrictions on his literary output.,🖋️📜🏰⚖️🔒🎭🌑✒️🧺🏥,"Set in Napoleonic-era France, the narrative examines the ideological conflict between an institutionalized author, an empathetic priest, and a state-appointed physician regarding freedom of expression and morality.",Drama,2000,"Fox Searchlight Pictures, Industry Entertainment Partners, Walrus & Associates, Hollywood Partners",7.135,725,"Germany, United Kingdom, United States of America",English,https://image.tmdb.org/t/p/w500/AvGdw3BpvJV2wHmK2qY0N7XHqET.jpg,https://www.youtube.com/watch?v=u--PYnIYewE,"In early 19th-century France, the Marquis de Sade is confined to an asylum where his forbidden writings continue to circulate beyond its walls. As the authorities tighten control, a clash unfolds between the Marquis’ unyielding imagination, the reformist ideals of the Abbé in charge, and the repressive measures of a doctor sent to silence him. Desire, power, and censorship collide in a battle over freedom of expression.",124,13500000,17989227,2.1035
Broker,Drama,2022-06-08,CJ ENM,94,N/A,A group of individuals coordinates the placement of an infant into an informal care system while traveling through South Korea.,🧺👶🚐🛣️🌧️🛤️🇰🇷🌂🍱🤱,The narrative examines the formation of a non-traditional social unit centered around the transit of an abandoned child.,Drama,2022,"CJ ENM, Zip Cinema, GAGA Corporation",7.158,549,"South Korea, Japan",Korean,https://image.tmdb.org/t/p/w500/x86xaUnxU31JYiwlO35corDEV1i.jpg,https://www.youtube.com/watch?v=SA0an0EWchY,"Sang-hyun is always struggling from debt, and Dong-soo works at a baby box facility. On a rainy night, they steal the baby Woo-sung, who was left in the baby box, to sell him at a good price. Meanwhile, detectives were watching, and they quietly track them down to capture the crucial evidence.",129,,18632208,2.0104
Born on the Fourth of July,"Biography, Drama, War",1989-12-20,Universal Pictures,85,N/A,A veteran of a mid-century international conflict undergoes a physical and ideological transition after returning to his home country.,🇺🇸🏥🦽🎖️📉🗽📽️📜🛤️🌧️,"Based on the 1976 autobiography by Ron Kovic, the film documents the transition of a young service member from active combat duty to civilian life and his subsequent involvement in national political discourse.","Drama, War",1989,"Universal Pictures, A. Kitman Ho Productions, Ixtlan Productions",7,1886,United States of America,"English, Spanish",https://image.tmdb.org/t/p/w500/c5gSie6ZA90iBs62yNM5MV4y9R7.jpg,https://www.youtube.com/watch?v=75sZjnTWur0,"Paralyzed in the Vietnam war, Ron Kovic becomes an anti-war and pro-human rights political activist after feeling betrayed by the country he fought for.",145,14000000,161001698,3.0006
The Wolf Man,"Horror, Drama, Fantasy",1941-12-12,Universal Pictures,90,N/A,An heir returns to his family's estate and undergoes a biological transformation after an interaction in the woods.,🌕🐺🌲🧔‍♂️🎞️🌑🕍🌫️🕯️👞,A technical study of a man's return to his Welsh ancestral home and the subsequent folklore-driven medical and psychological crises that follow a bite from a predator.,"Horror, Drama",1941,Universal Pictures,7,681,United States of America,English,https://image.tmdb.org/t/p/w500/vG8fu5syTtQLzK1hQXyi3ugOPNF.jpg,https://www.youtube.com/watch?v=GeKQL7ddgMo,"After his brother's death, Larry Talbot returns home to his father and the family estate. Events soon take a turn for the worse when Larry is bitten by a werewolf.",70,180000,,1.6859
