Title,Genres,Release Date,Year,Studio,CriticScore,TMDBRating,Country,Language,Hint,Description,Emojis,PosterURL,TrailerURL,DiffEasy,DiffNormal,DiffHard,DiffImpossible
The Official Story,"Drama, History",1985-04-03,1985.0,Progress Communications,100.0,7.5,Argentina,English,A teacher's search for the truth about her child exposes the shadows of a regime's stolen legacy.,"In the wake of the Argentine Dirty War, a high school history teacher begins to suspect that her adopted daughter may be the child of a 'disappeared' political prisoner.",🇦🇷🏫👶🕵️‍♀️🕰️🕯️📉🗞️⚖️💔,https://image.tmdb.org/t/p/w500/kkeUKaETggOrR0eW9nzPOIoZkZH.jpg,https://www.youtube.com/watch?v=4IbHh9ixyxQ,False,False,False,True
Kikujiro,"Comedy, Drama",1999-06-05,1999.0,Nippon Herald Films,76.0,7.5,Japan,Japanese,A summer journey unfolds as an unlikely pair traverses the countryside in search of a woman who was never there.,"Nine-year-old Masao sets out on a summer journey to find his mother, accompanied by an irresponsible middle-aged neighbor who turns the trip into a series of comedic and poignant misadventures.",👦🌻🛣️🚌👘🧢🎒🌊🍉🎹,https://image.tmdb.org/t/p/w500/zTelT1xAO4Owxk1jHJM4puoei5N.jpg,https://www.youtube.com/watch?v=EhUsQvoAeAY,False,False,False,True
Mephisto,Drama,1981-04-29,1981.0,Mafilm,93.0,7.2,"Germany, Hungary",German,An ambitious stage performer trades his artistic soul for the fleeting applause of a rising tyranny.,"In the face of rising Nazi power in 1930s Germany, a talented stage actor prioritizes his career over political morality, only to realize the true cost of his complicity.",🎭👹🇩🇪🎖️🕯️🍷📉🔥🕴️🖤,https://image.tmdb.org/t/p/w500/SNJoUTU8PSxQlj3RkrwYGOQPyj.jpg,https://www.youtube.com/watch?v=HZ5zGyuH8Bw,False,False,False,True
Water,"Drama, Romance",2005-11-04,2005.0,David Hamilton Productions,90.0,6.8,"Canada, India",Hindi,White-clad outcasts seek liberation from ancient traditions by the banks of a sacred river.,"In 1938 British India, a child widow is sent to a home where she and others live in poverty and social exile according to strict religious customs.",🌊🇮🇳🛕💔🕊️🐚🕯️💧🧺🧘,https://image.tmdb.org/t/p/w500/tdg6JKcqjS7szenmabGAbe5RGdN.jpg,https://www.youtube.com/watch?v=2R0pRl18js8,False,False,False,True
Waterloo Bridge,"Drama, Romance",1940-05-17,1940.0,Metro-Goldwyn-Mayer,86.0,7.5,United States of America,English,A chance encounter during an air raid leads to a lifetime of regret and a tragic choice under the fog of war.,"A ballerina and an army officer fall deeply in love during World War I, but a series of tragic misunderstandings and the harsh realities of wartime society force her into a desperate life of sacrifice.",🩰🌁💂‍♂️💔🕯️🚂🌫️🕯️😔💍,https://image.tmdb.org/t/p/w500/2XgYKd5tr5b9W5Yfq80yTZqf3hy.jpg,https://www.youtube.com/watch?v=Lsk6mAYVeWc,False,False,False,True
Smiles of a Summer Night,"Comedy, Romance",1955-12-26,1955.0,SF Studios,96.0,7.4,Sweden,Swedish,"Beneath the midnight sun, ancient potions and strategic reunions unravel a tangled tapestry of seasonal desire and matrimonial chess.",A sophisticated romantic comedy where various couples find their relationships tested and rearranged during a midsummer weekend at a Swedish country estate.,🇸🇪🌹🌙🍷🎭🕯️💍🌳🥂⚖️,https://image.tmdb.org/t/p/w500/wKeV8lKz8k9DDBCw6MJ9MkhvhqF.jpg,https://www.youtube.com/watch?v=kacMgRPyNrs,False,False,False,True
Three Wishes for Cinderella,"Fantasy, Family",2021-11-12,2021.0,Storm Films,63.0,6.9,Norway,Norwegian,Three magical gifts hidden in small shells allow a skilled rider to escape her frozen servitude and capture a wandering heart.,"In the snow-covered forests of Norway, a mistreated girl uses three enchanted nuts to transform her life and find love with a noble heir.",❄️🏰🏹✨🥜🐎🏔️🌲🧹👸,https://image.tmdb.org/t/p/w500/4kqH4d9FBQv5Sel39Ns7TMd13RT.jpg,https://www.youtube.com/watch?v=B0KR3Axi6fA,False,False,False,True
The Second Mother,Drama,2015-08-27,2015.0,África Filmes,97.0,8.0,Brazil,English,Social hierarchies crumble when an estranged daughter demands space in the home where her mother serves others.,A live-in housekeeper in São Paulo sees the social hierarchies of her workplace challenged when her estranged daughter arrives for college entrance exams.,👩🏽‍🍳🏠🎓🌊🇧🇷🏢🚪🧹👩‍👧🍽️,https://image.tmdb.org/t/p/w500/u1tDQun2iJAzersd94S8P47WEOL.jpg,https://www.youtube.com/watch?v=fXEYqXE4_sg,False,False,False,True
A Letter to Three Wives,"Romance, Drama, Mystery",1949-01-20,1949.0,20th Century Fox,96.0,7.2,United States of America,English,A singular envelope delivered on a voyage casts shadows of infidelity across three separate domestic thresholds.,"A single letter addressed to three women informs them that a local socialite has run away with one of their husbands, sparking a day of tense reflection on their marriages while they are away on a boat trip.",💌🛥️💍🤨🤫👰‍♀️💔🧐🚤🏘️,https://image.tmdb.org/t/p/w500/bSfwTLt2K8IeEeppsiDq7svikbV.jpg,https://www.youtube.com/watch?v=Ufdm0bOCsR0,False,False,True,True
City of Life and Death,"Drama, History, War",2009-04-22,2009.0,Media Asia Films,92.0,7.4,"China, Hong Kong",German,A monochrome descent into the harrowing depths of a fallen capital where humanity flickers amidst systematic devastation.,"A stark, black-and-white portrayal of the 1937 Battle of Nanking and the subsequent massacre, told through the perspectives of both Chinese victims and a conscience-stricken Japanese soldier.",🏯🩸💀📽️🌑🪖⚖️🕯️🏙️💔,https://image.tmdb.org/t/p/w500/xY6OUM2aRCmmq1ySTg2eu5rVmcq.jpg,https://www.youtube.com/watch?v=KGvrEIIQDj8,False,False,False,True
"Ivan the Terrible, Part I","Drama, History",1944-12-30,1944.0,Mosfilm,100.0,7.3,Soviet Union,Russian,A monolithic leader emerges from the shadows of architectural art to forge a unified land through blood and betrayal.,The first part of Sergei Eisenstein's epic historical drama chronicles the rise of the first Tsar of Russia as he battles internal enemies to solidify his reign.,👑🏰🗡️🕯️❄️🔥🇷🇺🏛️🎭🎻,https://image.tmdb.org/t/p/w500/rzFWfdq6CXLCnlfXTTZs9W9dMR2.jpg,https://www.youtube.com/watch?v=JcJkHCihTmE,False,False,False,True
Blind Chance,Drama,1987-01-10,1987.0,"Zespół Filmowy ""Tor""",88.0,7.5,Poland,Polish,One desperate sprint toward a departing platform splits a single destiny into three conflicting lives.,"A medical student runs after a train, sparking three alternate realities that explore the intersection of personal choice and political fate.",🚉🏃‍♂️⏱️🇵🇱🛤️🎭⚖️🎲🤔❓,https://image.tmdb.org/t/p/w500/gx84VmJllqvXF3JEqcEdsxBEcbF.jpg,https://www.youtube.com/watch?v=3Oq_rrjEWHo,False,False,False,True
Magadheera,Action,2009-07-31,2009.0,Geetha Arts,85.0,7.2,India,Sanskrit,A warrior across centuries seeks to reclaim a destiny severed by betrayal and time.,A high-budget fantasy action epic following a motorcycle stuntman who begins remembering his past life as a legendary warrior four centuries ago.,⚔️👑🐎💘⏳🏜️🏺🔥🗡️🛡️,https://image.tmdb.org/t/p/w500/xK7MEV56GF291VG0U5XnVJuvNv3.jpg,https://www.youtube.com/watch?v=_LaejRruLKI,False,False,False,True
Rory O'Shea Was Here,Drama,2004-09-15,2004.0,Working Title Films,71.0,7.4,"France, Ireland, United Kingdom",English,Two bound spirits reclaim their autonomy against a world that only sees their limitations.,Two young men with physical disabilities challenge the status quo of their residential home to pursue an independent life in their own apartment.,♿️🤘🏘️🏢🍻💨💔🕊️☘️🦽,https://image.tmdb.org/t/p/w500/2umd8KCnjamgEk9RpSUDQ9TltbW.jpg,https://www.youtube.com/watch?v=m2X4M3WT0W4,False,False,False,True
Kolya,"Drama, Comedy",1996-05-15,1996.0,Space Films,96.0,7.3,"Czech Republic, United Kingdom, France",Slovak,A confirmed bachelor finds his solitary life upended by an unexpected connection across a linguistic and political divide.,"In Soviet-occupied Czechoslovakia, a middle-aged cellist enters a marriage of convenience for money, but unexpectedly becomes the guardian of a small Russian boy.",🎻🧒🇨🇿🧤❄️❤️🚂🌆🎹🕊️,https://image.tmdb.org/t/p/w500/fB0cGiEOngfsfyDHXIpFOmEwFgi.jpg,https://www.youtube.com/watch?v=TJ7XTi9S_Ag,False,False,False,True
Snitch,"Action, Drama, Thriller",2013-02-22,2013.0,Exclusive Media,57.0,6.1,"United Arab Emirates, United States of America, United Kingdom",English,A desperate father risks everything by going undercover to salvage a family future caught in the crosshairs of a mandatory sentence.,"To save his teenage son from an unjust prison sentence, a businessman makes a dangerous deal with the DEA to infiltrate a drug cartel.",🚛💊⚖️👨‍👦🚔🤫🌑📦⛓️,https://image.tmdb.org/t/p/w500/1suKSCm8gVUIIOh4MgtWAtzkMe4.jpg,https://www.youtube.com/watch?v=gLqP1oOFSB4,False,False,False,True
Dear Frankie,"Drama, Family",2005-03-04,2004.0,Inside Track,74.0,7.0,"United Kingdom, Ireland",English,A mother recruits a mysterious seafarer to embody the phantom author of her son's long-distance correspondence.,A protective mother who has been forging letters from her deaf son's absent father finds herself forced to hire a stranger to play the role when the boy's imaginary ship actually arrives in harbor.,✉️🌊🚢🏴󠁧󠁢󠁳󠁣󠁴󠁿🤫👦🐚⚓💌🤝,https://image.tmdb.org/t/p/w500/5YRDvaBWBbhTKBYYc7BoOWdW01N.jpg,https://www.youtube.com/watch?v=NJ9Fqzj0psI,False,False,False,True
The Barber of Siberia,"Comedy, Drama, Romance, History",1998-10-30,1998.0,Camera One,68.0,7.1,"France, Russia",English,A grand machine of destruction arrives in the frozen wilderness alongside a love that echoes through the barracks and across the ocean.,"In the late 19th century, an American woman travels to Imperial Russia to help an inventor promote a massive steam-driven tree-harvesting machine, only to fall for a young military cadet.",🇷🇺❄️🌲🪒💂‍♂️🚂🎻💔📜🚁,https://image.tmdb.org/t/p/w500/6sAm5HWkhjWo7xI0nZjeJTru6mP.jpg,https://www.youtube.com/watch?v=GzeuxbthFg8,False,False,False,True
Nanban,"Comedy, Drama",2012-01-12,2012.0,Gemini Film Circuit,75.0,7.1,India,Tamil,A long journey back to the classroom reveals that the smartest mind was the one who redefined success.,"Ten years after their graduation, two college friends and their former rival embark on a journey through the mountains to track down a lost companion who changed their lives with his unconventional outlook on education.",🎓👨‍🎓🤝🎒📽️🏫💡🏃‍♂️📸🎉,https://image.tmdb.org/t/p/w500/dmhPnvYQVtx4xS1dkA9trCpQXvY.jpg,,False,False,False,True
Bang Bang You're Dead,Drama,2002-10-13,1954.0,Wellington,80.0,7.2,United Kingdom,English,A misunderstood outsider finds a stage for his inner turmoil before a planned tragedy can unfold.,"A high school student, marginalized and bullied, finds an outlet for his frustration through a school play while struggling with the impulse to commit a tragic act of violence.",🏫🎭🔫😟🎒📼🎥💔⚖️🕊️,https://image.tmdb.org/t/p/w500/sO6Gs84CP9aJWhXLVhtzRIVcRuF.jpg,,False,False,False,True
Character,"Thriller, Mystery, Crime",2021-06-11,2021.0,TOHO,75.0,7.5,Japan,Japanese,A struggling artist's dark muse leaps from the page into a bloody reality he cannot erase.,"An aspiring manga artist witnesses a real-life crime scene and uses the murderer's image to create his successful villain, leading to a dangerous real-world connection between the creator and the killer.",🎨🔪🖋️🩸🩸🎭😨🕵️‍♂️🏢🌑,https://image.tmdb.org/t/p/w500/uwIe2Jiwajp1RFVB4LVSNXDblh.jpg,https://www.youtube.com/watch?v=Q4onPD7cMBI,False,False,False,True
The Butterfly's Dream,"Drama, History",2013-02-22,2013.0,BKM Film,72.0,7.2,Turkey,Turkish,Two wordsmiths gamble their hearts on verses while a silent illness shadows their fleeting youth.,"In a coal-mining town during the 1940s, two aspiring poets struggle with poverty and tuberculosis as they navigate life and love through their writing.",🦋📜✍️🏥🇹🇷⛰️💔🚂🤒🦋,https://image.tmdb.org/t/p/w500/y3tvOh6QmyQDSth9EKKNzpdaZ0y.jpg,,False,False,False,True
Shall We Dance?,"Drama, Romance, Comedy",2004-10-15,2004.0,Miramax,47.0,6.4,United States of America,English,A weary commuter finds a hidden passion in the rhythmic steps observed through a stranger's window.,An overworked estate lawyer secretly signs up for ballroom dancing lessons to break the monotony of his life and find a new sense of joy.,💃🕺🎶👔🏢🚆🌸🌃🤫🤝,https://image.tmdb.org/t/p/w500/aGIyiQv08Gw1HO5BV1yrwCWtGHC.jpg,https://www.youtube.com/watch?v=UGtS3CL-zpo,False,False,False,True
Don,"Action, Drama, Thriller",2006-10-20,2006.0,Excel Entertainment,61.0,6.9,India,Hindi,A deceptive double navigates a high-stakes underworld where betrayal is the only certainty.,"After a ruthless underworld boss is killed, a simple lookalike is recruited by a police officer to impersonate him and infiltrate the criminal organization.",🕶️🔫🏙️✈️💵🕵️🔥💰🛥️⛓️,https://image.tmdb.org/t/p/w500/4HyRXNJ4U3H5yP9XjeTGWtlUlJN.jpg,https://www.youtube.com/watch?v=_cJRiAfr2PE,False,False,False,True
Nerkonda Paarvai,"Drama, Action, Thriller",2019-08-08,2019.0,Zee Studios,80.0,6.9,India,Tamil,"When the scales of justice are tilted by privilege, a steadfast gaze demands that a simple refusal be heard as an absolute law.",A retired lawyer with a sharp mind and a commitment to justice steps out of isolation to defend three young women who are falsely accused of a crime after being harassed by a group of influential men.,⚖️🏛️👩‍⚖️🚔🕯️🗣️✊🛡️⚖️🚫,https://image.tmdb.org/t/p/w500/8Ttg8jI3rOG6RSAj195MwdXlnc1.jpg,,False,False,False,True
Mr. India,"Action, Science Fiction, Drama",1987-05-25,1987.0,Narsimha Enterprises,85.0,6.9,India,Hindi,A common man vanishes from sight to dismantle the grand designs of a globalist tyrant.,"A poor man discovers his late father's invention: a watch that can make its wearer invisible, which he uses to protect his orphans and fight a megalomaniac villain.",👓👻🕶️🇮🇳💣🏠🥘🎶🎤🦹,https://image.tmdb.org/t/p/w500/nqDJ8vuVFYymUhOUKcGCZoHy4tu.jpg,https://www.youtube.com/watch?v=5XJxoDYkk8o,False,False,False,True
Guru,"Drama, Romance",2007-01-12,2007.0,Madras Talkies,83.0,6.9,India,English,A humble villager weaves a massive textile empire from pure ambition and audacity while defying the established economic order.,A biographical drama inspired by the life of a visionary businessman who rose from a small village to create one of the largest industrial conglomerates in his country.,📈💰🏭👔🇮🇳🚶‍♂️⚖️💼🏔️🔥,https://image.tmdb.org/t/p/w500/xX2BJ5sn3ElTZqhnOEod8ZXsCQg.jpg,https://www.youtube.com/watch?v=D1eE-lCKcxI,False,False,False,True
Rock On!!,Drama,2008-08-29,2008.0,Excel Entertainment,80.0,6.8,India,Hindi,A decade of silence ends when a forgotten rhythm pulls estranged souls back to the stage for one final resonance.,"Years after their rock band broke up due to personal conflicts, four friends find their way back to each other to rediscover their passion for music.",🎸🎤🥁🤘🍻🏢🏙️🤝🎶🔥,https://image.tmdb.org/t/p/w500/cckTZXVpchMrljPouFf7u2wqUTX.jpg,https://www.youtube.com/watch?v=P7aJlKdHgWY,False,False,False,True
Geetha Govindam,Romance,2018-08-15,2018.0,GA2 Pictures,75.0,7.0,India,Telugu,A single impulsive mistake on a bus journey leads a young academic into a web of familial ties and a desperate search for redemption.,"A young lecturer falls in love with a woman he meets on a bus, but a misinterpreted gesture leads to a series of comedic and romantic complications involving their families.",🚌💏🎓🏠🎶😡🤳🙏💐🇮🇳,https://image.tmdb.org/t/p/w500/sTreb0ajewXqeIqAyZ0IWtafoB5.jpg,https://www.youtube.com/watch?v=qHqWRCxhcOk,False,False,False,True
Tabutta Rövasata,Drama,1996-11-15,1996.0,Istisnai Filmler ve Reklamlar (IFR),85.0,7.3,Turkey,Turkish,A nomad of the asphalt seeks warmth in borrowed engines under the cold shadow of the Bosphorus.,"The tragicomic story of a homeless car thief in Istanbul who steals vehicles not for profit, but to survive the freezing nights.",🚗❄️🌊🥖🐈🌃🌧️🕊️🛌💔,https://image.tmdb.org/t/p/w500/wZFHPRHKyN8nXEsZJ6tqTUbACuZ.jpg,,False,False,False,True
Oye Lucky! Lucky Oye!,"Action, Comedy",2008-11-28,2008.0,UTV Motion Pictures,80.0,7.0,India,Hindi,A master of sleight of hand rises from humble origins to become a legendary urban phantom who treats every locked door as an invitation.,"Inspired by the real-life antics of a notorious thief, this film follows a charming con man who robs the elite of Delhi while navigating complex family dynamics and social class structures.",🕶️💰🚔🏢🏃‍♂️📺🏘️🇮🇳😂🎭,https://image.tmdb.org/t/p/w500/b51jXYaPbRAZegOkShdc7jWBsfZ.jpg,https://www.youtube.com/watch?v=Siq5wdFuOt4,False,False,False,True
Let's Sin,"Drama, Action, Crime",2014-06-13,2014.0,M3,22.0,7.0,Turkey,Turkish,Temptation leads to a series of urban blunders for three friends chasing the illusion of happiness.,"Three young men navigate the complexities of love and morality in a modern urban setting, often finding themselves in absurd and compromising situations.",🤡💔📉🏮🌆🏙️🤦‍♂️🎭🍻💸,https://image.tmdb.org/t/p/w500/sIoARCZEJA69wAkyOZWvZW4hRUs.jpg,https://www.youtube.com/watch?v=HvXQszltsrA,False,False,False,True
Thou Gild'st the Even,"Drama, Romance, Fantasy",2013-03-24,2013.0,efLAtun film,82.0,7.3,Turkey,Turkish,"In a town where everyone is extraordinary, the pain of being human remains the only thing they cannot escape.",A surrealist black-and-white tale about inhabitants of a small Turkish town who possess supernatural abilities while dealing with mundane existential crises and heartbreak.,🌑🕯️🕊️🦸‍♂️🎸☕🌫️💔⏳🕰️,https://image.tmdb.org/t/p/w500/lgQkEMe7rLvwYRA7dVL9ipCYdYN.jpg,,False,False,False,True
Mankatha,"Action, Thriller",2011-08-31,2011.0,Ayngaran International,78.0,6.8,India,Tamil,A high-stakes gamble where every player holds a hidden card and the line between law and chaos disappears in the pursuit of a massive jackpot.,"A suspended police officer joins a group of gangsters to pull off a multi-crore gambling heist during the IPL season, leading to a game of double-crosses.",🎰💰🃏🔫🏙️🕶️🚬🏍️⚡🏦,https://image.tmdb.org/t/p/w500/tZnDKJyUYfZKKPfBgVheU9vKlUo.jpg,https://www.youtube.com/watch?v=vHESM8iR1JE,False,False,False,True
Harry Potter and the Sorcerer's Stone,"Adventure, Fantasy",2001-11-16,2001.0,Warner Bros. Pictures,81.0,7.9,"United Kingdom, United States of America",English,A marked boy escapes a mundane life under the stairs to claim a legacy of magic and confront a shadowed past.,"An orphaned boy discovers he is a wizard and begins his first year at a school of magic, where he uncovers the mystery of a powerful hidden object.",⚡🦉🏰🚂🧙🪄🧹🕯💎🎩,https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,https://www.youtube.com/watch?v=l91Km49W9qI,True,True,True,True
Saw,"Horror, Mystery, Crime",2004-10-29,2004.0,Twisted Pictures,50.0,7.4,United States of America,English,A terminal clock ticks while choices are carved into flesh within a decaying tiled prison.,"Two men wake up in a secure room with no memory of how they got there, only to realize they are pawns in a deadly game perpetrated by a notorious serial killer.",🧩⛓️🪚📼🩸🚽⏳🤡💉🗝️,https://image.tmdb.org/t/p/w500/rLNSOudrayDBo1uqXjrhxcjODIC.jpg,https://www.youtube.com/watch?v=0bHDblokwv0,False,False,False,True
Dazed and Confused,"Comedy, Drama",1993-09-24,1993.0,Gramercy Pictures,93.0,7.3,United States of America,English,The final bell signals a night where the ritual of the paddle meets the freedom of the open road under a thick cloud of rebellion.,"On the last day of school in 1976, students navigate the transition from adolescence to adulthood amidst parties and aimless wanderings.",🍻🎸🚗💨🍃🛹✌️🕶️🏫🌞,https://image.tmdb.org/t/p/w500/msG9awbLhVZwv1Eh9Ge7SofMexW.jpg,https://www.youtube.com/watch?v=uzDPw5N8d_0,False,False,False,True
Avatar: The Way of Water,"Action, Adventure, Science Fiction",2022-12-16,2022.0,20th Century Studios,76.0,7.6,United States of America,English,A displaced family seeks refuge within a liquid frontier as a resurrected ghost from the past hunts them through the deep.,"Set more than a decade after the events of the first film, this sequel follows the Sully family as they navigate the perils of Pandora's oceans and fight to keep each other safe.",🌊🐋🏹🌲🛰️🐚🛶🧿💦🌌,https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,https://www.youtube.com/watch?v=o5F8MOz_IDw,True,True,True,True
Once Upon a Time in Hollywood,"Comedy, Drama, Thriller",2019-07-26,2019.0,Heyday Films,85.0,7.4,"China, United Kingdom, United States of America",English,An aging star and his shadow navigate a shifting industry while history takes an unexpected detour under the California sun.,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,🎬🤠🏎️🚬☀️🏡🌆🔪🐶📽️,https://image.tmdb.org/t/p/w500/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,https://www.youtube.com/watch?v=vKgITiP1UMg,False,True,True,True
American Psycho,"Thriller, Drama, Crime",2000-04-14,2000.0,Lionsgate,68.0,7.4,"Canada, United States of America",English,A perfectionist with a taste for luxury hides his bloodlust behind a mask of corporate vanity and expensive skincare routines.,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",🔪🪓🚿👔🩸🧴💿🏢🥩💸,https://image.tmdb.org/t/p/w500/9uGHEgsiUXjCNq8wdq4r49YL8A1.jpg,https://www.youtube.com/watch?v=81mibtQWWBg,False,False,False,True
Harry Potter and the Half-Blood Prince,"Adventure, Fantasy",2009-07-15,2009.0,Warner Bros. Pictures,84.0,7.7,"United Kingdom, United States of America",English,A dusty textbook reveals lethal secrets while a light is extinguished atop the tallest tower.,"As the dark lord's grip tightens on both the wizarding and Muggle worlds, a student uncovers a mysterious potion master's secrets and prepares for an inevitable confrontation.",⚡🧪📖🏰🌑🐍🧪🕰️🕯️💔,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,https://www.youtube.com/watch?v=DgeDDXcw--I,True,True,True,True
Watchmen,"Mystery, Action, Science Fiction",2009-03-06,2009.0,Warner Bros. Pictures,65.0,7.4,United States of America,English,A ticking clock signals the end of an era while a blue god observes the inevitable collapse of human morality.,"In an alternate 1985 America, costumed superheroes are part of everyday life, but when one of his former colleagues is murdered, a masked vigilante uncovers a disturbing conspiracy.",🕰️☢️🦸‍♂️🌃🌧️⚖️🧬🎭🩸📉,https://image.tmdb.org/t/p/w500/aVURelN3pM56lFM7Dgfs5TixcIf.jpg,https://www.youtube.com/watch?v=89xoXmHgG00,False,False,True,True
Superbad,Comedy,2007-08-17,2007.0,Columbia Pictures,88.0,7.3,United States of America,English,A desperate quest for spirits leads two inseparable friends through a chaotic night of law enforcement and awkward social hurdles before they go their separate ways.,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,🍺🎉🚔🤓🍆🔞🥴🛒🔥🤝,https://image.tmdb.org/t/p/w500/ek8e8txUyUwd2BNqj6lFEerJfbq.jpg,https://www.youtube.com/watch?v=MuhWxdD0qno,False,False,False,True
300,"Action, Adventure, War",2007-03-09,2007.0,Virtual Studios,61.0,7.2,United States of America,English,A small line of bronze and bone stands defiant at a narrow passage against the encroaching shadows of an empire.,"Based on Frank Miller's graphic novel, the film depicts the heroic stand of Spartan warriors against the massive Persian army.",⚔️🛡️🩸🏛️⛈️🔥🧔🏹🦁☀️,https://image.tmdb.org/t/p/w500/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,https://www.youtube.com/watch?v=UrIbxk7idYA,True,True,True,True
Star Wars: Episode III - Revenge of the Sith,"Adventure, Action, Science Fiction",2005-05-19,2005.0,Lucasfilm Ltd.,79.0,7.5,United States of America,English,A tragic transformation amidst a crumbling republic seals the fate of the stars.,The final chapter of the prequel trilogy depicts the fall of the Republic and the rise of a galactic empire as a chosen hero is seduced by a sinister power.,⚔️🔥🎭🌋🌌🌑💔🗡️🤖👑,https://image.tmdb.org/t/p/w500/xfSAoBEm9MNBjmlNcDYLvLSMlnq.jpg,https://www.youtube.com/watch?v=5UnjrG_N8hU,True,True,True,True
Giant,"Drama, Western",1956-10-10,1956.0,Warner Bros. Pictures,93.0,7.6,United States of America,English,A sprawling empire of cattle transforms into a kingdom of black gold as the horizon stretches across generations.,An epic tale of a Texas family ranching dynasty spanning several decades as they face industrial change and internal social tensions.,🤠🐄🛢️💰🏗️🌵☀️🏛️🎩📉,https://image.tmdb.org/t/p/w500/h5RRYPVVuHzd7QOJyP5Dsi8J9XZ.jpg,https://www.youtube.com/watch?v=nzR5GkkvorA,False,False,True,True
Stardust,"Adventure, Fantasy, Romance, Family",2007-08-10,2007.0,Paramount Pictures,77.0,7.3,"Iceland, United Kingdom, United States of America",English,A promise made in a walled village leads a dreamer across a forbidden threshold to find a celestial prize sought by witches and princes alike.,"In hopes of winning his true love's heart, a young man ventures into a magical realm to retrieve a fallen star, only to discover it is actually a woman being hunted by dark forces.",✨🌟⚔️🕯️🧙‍♀️🤴🐐🛶🏰💎,https://image.tmdb.org/t/p/w500/7zbFmxy3DqKYL2M8Hop6uylp2Uy.jpg,https://www.youtube.com/watch?v=8fsi_QqU5j8,False,False,False,True
The Fifth Element,"Science Fiction, Action, Adventure",1997-05-07,1997.0,Gaumont,71.0,7.6,France,English,A cosmic harmony depends on a missing piece found within a copper-haired savior in a neon-drenched metropolis.,"In a vibrant and eccentric future, a cynical flying-cab driver becomes the unlikely protector of a mysterious woman who holds the key to saving Earth from a looming ancient evil.",🚕🚀🔫🔥☄️🎤🧡🛸👽🧬,https://image.tmdb.org/t/p/w500/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,https://www.youtube.com/watch?v=5Sg2RkdkSvk,True,True,True,True
Love Actually,"Comedy, Romance, Drama",2003-11-14,2003.0,Working Title Films,64.0,7.1,"France, United Kingdom",English,"In the weeks leading up to the holidays, multiple lives intersect in search of a universal feeling throughout the streets of London.","The film follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",🎄❤️❄️🎁🤝🎤💍✈️🏢⛪,https://image.tmdb.org/t/p/w500/7QPeVsr9rcFU9Gl90yg0gTOTpVv.jpg,https://www.youtube.com/watch?v=r3mJrSA1x5s,False,True,True,True
Hell or High Water,"Western, Crime, Drama",2016-08-12,2016.0,Sidney Kimmel Entertainment,97.0,7.3,United States of America,English,Two siblings reclaim their future by systematically targeting the branches of the bank threatening their ancestral land.,A divorced father and his ex-con brother resort to a desperate scheme to save their family's ranch in West Texas.,🏜️🤠🏦💵🔫🚔🌾🔥🌵🛣️,https://image.tmdb.org/t/p/w500/ljRRxqy2aXIkIBXLmOVifcOR021.jpg,https://www.youtube.com/watch?v=igD-fXiHRRY,False,False,False,True
The Little Mermaid,"Adventure, Family, Fantasy, Romance",2023-05-26,2023.0,Walt Disney Pictures,67.0,6.3,United States of America,English,A melodic sacrifice grants the silent curiosity of land-dwelling steps.,The youngest of King Triton's daughters longs to find out more about the world beyond the sea and falls for the dashing Prince Eric while visiting the surface.,🧜🌊🐚🦀🐠🎵✨🔱🐙🌅,https://image.tmdb.org/t/p/w500/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,https://www.youtube.com/watch?v=kpGo2_d3oYE,True,True,True,True
Moana,"Adventure, Comedy, Family, Animation",2016-11-23,2016.0,Walt Disney Animation Studios,96.0,7.6,United States of America,English,A wayfinder sails across the vast blue to return a stolen heart and heal a dying world.,"An adventurous teenager sails out on a daring mission to save her people, meeting the once-mighty demigod Maui, who guides her in her quest to become a master wayfinder.",🌊⛵🌀🌋🐚☀️🌴🛶🎶🐷,https://image.tmdb.org/t/p/w500/9tzN8sPbyod2dsa0lwuvrwBDWra.jpg,https://www.youtube.com/watch?v=LKFuXETZUsI,False,True,True,True
