Title,Genres,Release Date,Studio,Critic Score,Audience Score,Hint,Vibe Emojis,Description,YouTube Embed Link,Verification Status
Marvin's Room,Drama,1996-12-18,Miramax,84,N/A,A medical diagnosis necessitates a reunion between estranged family members within a domestic caretaking environment.,🏥💊🏠🧬👩‍👩‍👦📞🧴🛋️🎞️⛅,"Adapted from the stage play by Scott McPherson, the film documents the re-establishment of communication between two sisters after a period of prolonged estrangement, precipitated by a significant health crisis within the family unit.",https://www.youtube.com/embed/wzXGf8-R0gM,not verified
Rachel Getting Married,Drama,2008-10-03,Sony Pictures Classics,84,N/A,A woman returns to her family's domestic environment to attend a sibling's matrimonial ceremony while navigating interpersonal histories.,💍🏠🎻🎂💔🌧️🥂👗🩹🌳,"An individual transitions from a structured recovery program back to a familial setting for a wedding event, precipitating a re-evaluation of past collective trauma and current relational dynamics.",https://www.youtube.com/embed/Wv9-8o0N-jU,not verified
Postcards from the Edge,"Comedy, Drama",1990-09-14,Columbia Pictures,84,N/A,An actress navigates professional rehabilitation and complex domestic dynamics within the Hollywood entertainment industry.,🎬💊🎭🤱🌇🎤🏥🍹📞🎞️,The narrative follows a performer attempting to stabilize her career following a period of medical intervention while living under the supervision of her established mother.,https://www.youtube.com/embed/v8h3L_23l0o,not verified
Cold in July,"Crime, Drama, Thriller",2014-05-23,IFC Films,84,N/A,A homeowner's lethal encounter with an intruder initiates a sequence of events involving the decedent's family and law enforcement in late 20th-century Texas.,🔫🤠🚔🌙🧔‍♂️🗄️📼🔥🌃🌵,"Set in 1989 East Texas, the narrative follows a family man who enters a complex legal and social web after a home defense incident, eventually uncovering systemic issues alongside the deceased man's father.",https://www.youtube.com/embed/D666-xOqX7A,not verified
8-Bit Christmas,"Comedy, Family",2021-11-24,Warner Bros. Pictures,84,N/A,A juvenile protagonist navigates suburban social structures and logistical obstacles to acquire a specific consumer electronics console during a seasonal holiday.,🕹️🎄❄️📼🧤🧒🎮📺🏢🎁,"Set in late 1980s Chicago, the narrative follows a ten-year-old's complex quest to obtain the Nintendo Entertainment System, framed as a retrospective account told to his daughter.",https://www.youtube.com/embed/rF8V_080P_4,not verified
Morvern Callar,"Drama, Art House",2002-11-01,BBC Films,84,N/A,A retail worker assumes the intellectual property of an associate and utilizes the resulting funds for international travel.,🏴󠁧󠁢󠁳󠁣󠁴󠁿🛒📝💊🎧🇪🇸📼🌫️🏨💃,"Based on the 1995 novel by Alan Warner, the narrative follows a woman's psychological transit from a remote Scottish port to the Spanish coast following a sudden inheritance.",https://www.youtube.com/embed/BvHq5NRE0Ww,not verified
Sleepwalk with Me,"Comedy, Drama",2012-08-24,IFC Films,84,N/A,An aspiring performer navigates personal milestones while managing a recurring physiological disruption during sleep.,🎤🛌🌙🛋️🚗💨😴🎭🛋️👔,A semi-autobiographical narrative concerning a stand-up comedian whose professional aspirations and interpersonal commitments are complicated by a persistent nocturnal behavior disorder.,https://www.youtube.com/embed/Y-i_O5NidI4,not verified
Evil Dead Rise,"Horror, Supernatural",2023-04-21,Warner Bros. Pictures,84,N/A,An urban family discovers a subterranean biological artifact that initiates a sequence of domestic containment challenges.,🏢🩸📖🔪🌩️👩‍👧‍👦🚪⛓️🪚📼,The narrative follows two estranged sisters residing in a metropolitan apartment complex who must confront an ancient supernatural presence released from a hidden chamber.,https://www.youtube.com/embed/BqQ6btE7liM,not verified
Speak No Evil,"Psychological Thriller, Horror, Drama",2022-01-21,Profile Pictures,84,N/A,Two families of different nationalities navigate social boundaries during a weekend stay at a rural residence following a vacation encounter.,🇩🇰🇮🇹🏠🍷🚗🤐🔇🍽️🌑🫂,The narrative examines social conventions and the psychological boundaries of politeness when two families of disparate cultural backgrounds spend a weekend together in a rural setting.,https://www.youtube.com/embed/7Iog43D8R80,not verified
The Wonder,"Drama, Mystery, Period Piece",2022-11-16,Netflix,84,N/A,An English healthcare practitioner arrives in rural Ireland to monitor a report of long-term nutritional abstinence in a domestic setting.,🕯️🥘⛪🌧️🧤🤐🧪📜🏚️🎭,"Set in 1862, the narrative documents a clinical observation of a child who remains vital despite a lack of caloric intake, highlighting the intersection of faith and empirical evidence.",https://www.youtube.com/embed/m9Xm78m-t2A,not verified
Disobedience,"Drama, Romance",2017-09-10,Film4 Productions,84,N/A,An expatriate returns to her insular religious community in London following the death of a prominent community leader.,🕍🕯️🧣🇬🇧📸🕊️⚖️🖤⛪️🧥,A structural analysis of the tension between individual autonomy and traditionalist social hierarchies within an Orthodox enclave.,https://www.youtube.com/embed/p4vI_O0C3Yk,not verified
The Lego Movie 2: The Second Part,"Animation, Action, Adventure, Comedy, Family, Musical, Sci-Fi",2019-02-08,Warner Bros. Pictures,84,N/A,An assembly-based civilization faces structural destabilization from external visitors leading to a multi-dimensional exploration of cooperative play mechanics.,🧱🚀🌈🤖👽🎶🏗️👯‍♀️🎨✨,"Five years after a major societal integration event, the inhabitants of a modular environment face a new threat from extraterrestrial entities, triggering a mission to a distant star system to reconcile ideological differences and maintain structural integrity.",https://www.youtube.com/embed/SkW2SGaXW20,not verified
Avengement,"Action, Crime, Thriller",2019-05-24,Samuel Goldwyn Films,84,N/A,A released individual returns to a private social club to recount the events leading to his incarceration and seek resolution with former associates.,👊🔓🍺🇬🇧🩸🏚️🥊⏳⛓️🤐,"The film follows Cain Burgess, a convict who escapes police custody and enters a pub to confront his brother and other members of a criminal organization through a series of structural flashbacks.",https://www.youtube.com/embed/MvG_D8yG1nI,not verified
Midnight Special,"Sci-Fi, Drama, Thriller",2016-03-18,Warner Bros.,84,N/A,A father and son evade government and religious entities while traveling toward a specific geographic coordinate.,🌌🔦🚗👦🚔🏜️✨🛸👽🛤️,A science fiction narrative detailing the transport of a minor with unique physiological properties across state lines to avoid institutional detention.,https://www.youtube.com/embed/1Z-V-U92v3Q,not verified
These Final Hours,"Drama, Sci-Fi, Thriller",2014-06-12,Roadshow Entertainment,84,N/A,A man navigates a coastal urban landscape during the final hours of a global cataclysm to reunite a minor with her family.,☄️🕒🏜️🚗🏢🔥🥃🌊🥃🌅,"Set in Perth, Australia, the narrative follows an individual's transition from nihilistic self-interest to altruistic responsibility as an extinction-level event approaches the continent.",https://www.youtube.com/embed/vV_06EAnNl0,not verified
The Art of Self-Defense,"Dark Comedy, Martial Arts, Thriller",2019-07-12,Bleecker Street,84,N/A,A solitary individual joins a martial arts academy to address personal safety concerns and undergoes a behavioral transformation.,🥋🥊🥛🏢🦶🐕🔧🌕📋🚶,"Following a traumatic street encounter, an introverted accountant enrolls in a local karate dojo to acquire defensive techniques, subsequently navigating the unconventional ideologies of his instructor.",https://www.youtube.com/embed/7_j_Xv9vjO4,not verified
The Villainess,"Action, Crime, Thriller",2017-06-08,Contents Panda,84,N/A,An operative trained in specialized combat techniques seeks to navigate the terms of her service while managing her domestic identity.,🗡️🩸🏙️🕶️🏍️👰‍♀️🏢🎭🇰🇷🎬,The narrative follows a trained assassin who enters a contractual agreement with a government intelligence agency to secure a future for her child.,https://www.youtube.com/embed/qsh_m9pLh2I,not verified
Rocket Science,"Comedy, Drama",2007-08-10,Picturehouse,84,N/A,A secondary school student with a speech impediment joins a competitive forensic speech organization to pursue a social connection.,🗣️📝🚌🏫🔭🤔📉🏆🎭🤓,The film chronicles the experiences of a New Jersey teenager who attempts to overcome a chronic stutter by participating in the high-stakes world of high school policy debate.,https://www.youtube.com/embed/N65n9-F-t4k,not verified
Pontypool,"Horror, Thriller, Mystery",2008-09-06,Shadow Shows,84,N/A,A radio broadcaster records an unfolding crisis from the confines of a basement studio in a small Canadian town during a winter storm.,📻❄️🗣️🇨🇦☣️🎙️🌑🌫️🧟👂,"Set within the claustrophobic environment of a radio station, the narrative explores the transmission of an unconventional contagion through linguistic patterns during a localized state of emergency.",https://www.youtube.com/embed/zH0uYvVj9Y8,not verified
Moscow on the Hudson,"Comedy, Drama, Romance",1984-04-06,Columbia Pictures,84,N/A,A foreign musician decides to remain in a major metropolitan center following a commercial visit.,🎷🍎🗽🎪🇺🇸🏙️🍦🧥🤝🚕,"The narrative explores the transition of a Soviet citizen who chooses to seek asylum in New York City, documenting the logistical and cultural shifts encountered during his integration into Western society.",https://www.youtube.com/embed/l1UIs2T61bY,not verified
Sightseers,"Comedy, Crime, Drama",2012-05-22,StudioCanal,84,N/A,A couple embarks on a structured tour of regional heritage sites across the British countryside in a towed recreational vehicle.,🚐⛰️🐕🧥📸🗺️🍂🧺🔪🏔️,"An analytical depiction of a domestic excursion through the United Kingdom's rural landscape, documenting the behavioral shifts of two individuals during a caravan holiday.",https://www.youtube.com/embed?listType=search&list=Sightseers+2012+Official+Trailer,not verified
White Hunter Black Heart,"Adventure, Drama",1990-09-14,Warner Bros.,84,N/A,A dedicated filmmaker prioritizes a personal pursuit over the logistics of a high-profile production in a remote landscape.,🐘📽️🎞️🌍🔫🎥👞🌲🎩🇿🇼,A dramatic exploration of artistic obsession and moral conflicts set against the backdrop of a 1950s film production in Africa.,https://www.youtube.com/embed/SOf-hZ07L8Q,not verified
Pleasure,Drama,2021-10-08,Neon,84,N/A,A Swedish protagonist relocates to Southern California to establish a career within a specific segment of the visual media industry.,🎥🇸🇪🇺🇸🏢🎭⚖️📈💼🏙️🤳,"Directed by Ninja Thyberg, this narrative follows an aspiring performer's entry into the Los Angeles media landscape, detailing the social and commercial structures of her chosen career path.",https://www.youtube.com/embed/e6_fR3K1R84,not verified
Mayhem,"Action, Comedy, Horror",2017-11-10,RLJE Films,84,N/A,A corporate legal facility is placed under medical quarantine during an outbreak that compromises the neurological impulse control of its occupants.,🏢⚖️💉👔🧬💊💥🔨🩸🧗,The narrative follows a legal professional and a client as they navigate a multi-story office building during a government-mandated lockdown caused by a biological contagion.,https://www.youtube.com/embed/fA3DIsj8Y7o,not verified
Hunter Hunter,"Horror, Thriller, Mystery",2020-12-18,IFC Midnight,84,N/A,A family of remote fur trappers encounters a series of escalating threats from both wildlife and an unidentified presence in the wilderness.,🌲🐺🪤🏚️🌫️🔪🩸🦶🌑🔦,"Set in a secluded forest, the narrative follows a family of trappers who believe they are being hunted by a rogue wolf, leading to a structural confrontation with an external intruder.",https://www.youtube.com/embed?listType=search&list=Hunter+Hunter+2020+Official+Trailer,not verified
Under the Skin,"Sci-Fi, Drama, Mystery",2013-09-03,A24,84,N/A,An unidentified entity traverses the Scottish landscape in a terrestrial vehicle to facilitate a specialized harvesting process.,👽🇬🇧🏙️🌑🌫️🖤🧊🛸🌊🧬,"A non-human entity assumes a terrestrial form and travels through Scotland, interacting with the local population while executing a series of systematic captures.",https://www.youtube.com/embed/io92j2QqEGk,not verified
Do Revenge,"Comedy, Teen Noir, Drama",2022-09-16,Netflix,84,N/A,Two displaced students at an elite secondary institution form a tactical alliance to address grievances involving their respective social circles.,💅👗👯‍♀️💊🏫🚗🎾🔥🕶️♟️,A dark comedy following two high school students who agree to pursue corrective actions against those who have marginalized them within their social hierarchy.,https://www.youtube.com/embed/rF-G7mG89qQ,not verified
While We're Young,"Comedy, Drama",2015-03-27,A24,84,N/A,A middle-aged professional couple experiences a shift in social dynamics after befriending two younger individuals in an urban setting.,👴🚲🎥🕶️🍎🏙️📅🎧📷👟,A documentary filmmaker and his wife encounter a younger couple whose lifestyle and technological preferences prompt a period of personal and professional re-examination.,https://www.youtube.com/embed/7vHe0GvV8Y4,not verified
Trainwreck,"Comedy, Romance",2015-07-17,Universal Pictures,84,N/A,A career-oriented magazine writer reevaluates her long-standing interpersonal philosophies after being assigned to profile a specialized medical professional.,🍺🏙️🏥🏀✍️💔💃👟🗽🍻,The narrative explores the personal evolution of a New York-based journalist whose established patterns of social conduct are challenged by a developing professional and personal relationship with a physician.,https://www.youtube.com/embed/2MxnhBPoIx4,not verified
Blockers,Comedy,2018-04-06,Universal Pictures,84,N/A,A trio of guardians attempts to intervene in their adolescent children's personal milestones during a significant secondary education social gathering.,👗🕺🏼📱🚗🍻🏃‍♂️🕒👠🎓🤝,The narrative follows three parents who discover their daughters' pact to engage in specific social behaviors during their senior prom and subsequently embark on a covert mission to prevent the execution of those plans.,https://www.youtube.com/embed/rFpWskzI87o,not verified
The Quake,"Action, Drama, Thriller",2018-08-31,Fantefilm,84,N/A,A specialized technician investigates geological instability threatening a metropolitan infrastructure.,🏗️🏢📉🆘🧗‍♂️🏙️🧱😨🔦🌍,A geologist attempts to reconcile personal trauma while identifying indicators of a massive seismic event in the Norwegian capital.,https://www.youtube.com/embed/FhZc98X0S4A,not verified
Crawl,"Horror, Thriller, Action",2019-07-12,Paramount Pictures,84,N/A,A competitive swimmer attempts to evacuate her father from a flooding residential crawlspace during a significant meteorological event.,🐊🌀🌧️🔦🏠🛶🐊🧱🌊🆘,"Set against the backdrop of a Category 5 hurricane in Florida, the narrative follows an athlete attempting to rescue her estranged father, leading to a structural confinement scenario involving indigenous apex predators.",https://www.youtube.com/embed/H6ML7W6L_Kg,not verified
Drinking Buddies,"Comedy, Drama, Romance",2013-08-23,Magnolia Pictures,84,N/A,Two coworkers navigate the structural complexities of their interpersonal relationships while operating within a shared professional environment.,🍺🏢👫💼🍻🏘️🕰️💬🍂🚲,The film explores the nuances of platonic intimacy and the blurring of boundaries between colleagues in the craft beer industry.,https://www.youtube.com/embed/wxuxkQF7Bak,not verified
Pathaan,"Action, Thriller",2023-01-25,Yash Raj Films,84,N/A,An exiled intelligence operative returns to prevent a global crisis orchestrated by a former colleague.,🕵️‍♂️🌍🔥💥🕶️✈️💣🚁🔫🏙️,"An Indian secret agent, long presumed dead, emerges from hiding to neutralize a private terrorist organization planning a biological attack on his country.",https://www.youtube.com/embed/vqu4z34wENw,not verified
Rust Creek,"Thriller, Survival",2018-01-04,IFC Midnight,84,N/A,A solitary traveler becomes stranded in an isolated region and must navigate an encounter with local residents to secure passage home.,🌲🛣️🎒🗺️🔦🔪🩸🚗🏚️🔦,An ambitious college student on her way to a job interview takes a wrong turn and finds herself struggling to survive in the remote woods of Kentucky.,https://www.youtube.com/embed/3wLzC20fXLI,not verified
The Matrix,"Action, Sci-Fi",1999-03-31,Warner Bros.,83,N/A,Choosing between a comfortable hallucination and a harsh reality reveals a world governed by hidden algorithms.,🕶️💊💻🏢🔫🏃🕴️🔌🟢🖥️,A computer programmer discovers that his entire life is a simulation and joins a rebel group to fight their mechanical jailers.,https://www.youtube.com/embed/vKQi3bBA1y8,not verified
Se7en,"Crime, Drama, Mystery, Thriller",1995-09-22,New Line Cinema,83,N/A,A rainy city serves as the backdrop for a meticulous artist who treats mortal transgressions as his ultimate masterpiece.,🌧️📦🏙️🕵️‍♂️🕯️📖✝️🩸⚖️💀,A retiring police detective and his newly transferred partner hunt a serial killer who justifies his crimes as absolution for the world's ignorance of the seven deadly sins.,https://www.youtube.com/embed/znmZoVkCjpI,not verified
The Shining,"Horror, Drama",1980-05-23,Warner Bros.,83,N/A,Isolation turns a quiet winter job into a descent through a haunted history of madness.,🪓❄️🏨🥃👯‍♀️🩸🚪🏔️👨‍👩‍👦🧥,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",https://www.youtube.com/embed/5Cb3ik6zP2I,not verified
Oldboy,"Action, Drama, Mystery, Thriller",2003-11-21,Show East,83,N/A,"After fifteen years in a windowless room, a man is released to discover that his freedom is a far more elaborate prison.",⛓️🔨🐙🥢🩸💔🗝️🏨🐜🎞️,"After being kidnapped and imprisoned for fifteen years, a man is suddenly released and given five days to identify his captor and learn the reason for his incarceration.",https://www.youtube.com/embed/2Hkjw5KnrwA,not verified
Star Wars: Episode VI - Return of the Jedi,"Action, Adventure, Fantasy, Sci-Fi",1983-05-25,Lucasfilm,83,N/A,A masked legacy is confronted in a final celestial showdown while small forest dwellers help topple a tyrannical empire.,🌌⚔️🐻🌑🎭🤝🚀🔥🌕💎,The Rebel Alliance prepares for a final assault on the Empire's second Death Star as a young hero faces a fateful confrontation with his dark father.,https://www.youtube.com/embed/7L8p7_SLzvU,not verified
Agent Sai Srinivasa Athreya,"Mystery, Comedy, Crime, Thriller",2019-06-21,Swadharm Entertainment,83,N/A,A local sleuth with high ambitions stumbles upon a sinister conspiracy while investigating abandoned remains near the iron rails.,🔍🕵️💼🚂🧥📜📉🧐🚆🧬,A brilliant but underestimated private investigator based in Nellore gets caught in a dangerous web of religious exploitation and body trafficking after discovering a series of unclaimed corpses.,https://www.youtube.com/embed/rV9H2u9S6ps,not verified
Into the Wild,"Adventure, Biography, Drama",2007-09-21,Paramount Vantage,83,N/A,A seeker of absolute freedom abandons civilization only to find that true joy must be shared.,🏔️🚌🌲🎒🍂🔥🚣‍♂️🦌❄️🚶,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire savings to charity, and hitchhikes to Alaska to live in the wilderness.",https://www.youtube.com/embed/g7ArZ7VD-QQ,not verified
The Sound of Music,"Musical, Drama, Family, Biography",1965-03-02,20th Century Fox,83,N/A,A spirited postulant finds her voice and a family while the hills themselves begin to echo with the approach of an unwelcome regime.,🏔️🎶⛪🇦🇹👗🎸🏃🎖️☀️🎵,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,https://www.youtube.com/embed/KU0S4GZ_5mU,not verified
Innocence,"Drama, Mystery, Fantasy",2004-09-10,Ex Nihilo,83,N/A,"Behind high walls and deep woods, young girls are schooled in a mysterious ritual of growth and seclusion.",🎀🩰🌲🏰🦢🗝️🌫️👧🏼🤫🕯️,"Inside a secluded boarding school for young girls surrounded by a thick forest, new arrivals learn through dance and nature while the world outside remains a forbidden mystery.",https://www.youtube.com/embed?listType=search&list=Innocence+2004+Official+Trailer,not verified
Dune,"Action, Adventure, Sci-Fi",2021-10-22,Warner Bros. Pictures,83,N/A,A young heir navigates political betrayal and a harsh desert landscape to fulfill a destiny written in the stars.,🏜️🪱⚔️🏜️👑👁️✨🪐🌬️🚀,The son of a noble family travels to a dangerous desert planet to protect the most valuable substance in the universe while facing betrayal and ancient prophecies.,https://www.youtube.com/embed/8g18jFHCLXk,not verified
Magnolia,Drama,1999-12-17,New Line Cinema,83,N/A,A chorus of interconnected souls navigates a day of coincidences and regrets until the sky begins to fall in a biblical deluge.,🐸🌧️⏳💊🎤🏥🌩️🍂🛐💔,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",https://www.youtube.com/embed/cxcegkt_ezA,not verified
Dances with Wolves,"Adventure, Drama, Western",1990-11-21,Orion Pictures,83,N/A,A weary soldier finds a new soul among the plains and a family where he least expected it.,🐎🐺⛺🏹🌲🌅🏔️🌾🦅🔥,An idealistic Union Army lieutenant travels to the American frontier to man a remote military post and finds himself finding kinship with the local Lakota people.,https://www.youtube.com/embed?listType=search&list=Dances+with+Wolves+1990+Official+Trailer,not verified
Fiddler on the Roof,"Musical, Drama, History",1971-11-03,United Artists,83,N/A,A humble laborer balances the weight of ancient customs against the relentless pull of a changing world.,🎻🛖🕍✡️👨‍👩‍👧‍👧🥛🐎🇷🇺❄️🕯️,"In a small pre-revolutionary Russian village, a Jewish milkman faces the challenge of marrying off his five daughters while growing anti-Semitism threatens his traditional way of life.",https://www.youtube.com/embed?listType=search&list=Fiddler+on+the+Roof+1971+Official+Trailer,not verified
Atonement,"Drama, Romance, War",2007-12-07,Focus Features,83,N/A,A single lie whispered in the heat of a summer day echoes through a lifetime of regret and a war-torn landscape.,✍️✉️💔🌊🔥🪖🎹👗🇬🇧🎭,"A young girl's mistake changes the course of several lives across decades, set against the backdrop of WWII.",https://www.youtube.com/embed/rkVQwwPrr4c,not verified
The Untouchables,"Crime, Drama, History",1987-06-03,Paramount Pictures,83,N/A,A dedicated lawman recruits a small group of incorruptible misfits to dismantle a kingpin's empire in a city soaked in illegal spirits and blood.,👮‍♂️🥃⚖️🏙️🚂💼🚔🔫👞🇮🇹,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.",https://www.youtube.com/embed/8yL7Gv6D-W4,not verified
Captain Fantastic,"Comedy, Drama",2016-07-08,Bleecker Street,83,N/A,A primitive paradise is shattered when a wilderness patriarch leads his pack into the chaos of modern civilization to honor a final wish.,🌲🏹📚🚐🌳🏔️🛶🏕️👨‍👧‍👦💔,A father raising his six children in the forests of the Pacific Northwest is forced to leave his secluded paradise and integrate his family into the real world.,https://www.youtube.com/embed/D1kH4OMIOMo,not verified
Walk the Line,"Biography, Drama, Music",2005-11-18,20th Century Fox,83,N/A,A silhouette in black battles personal demons while finding his rhythm and a love that anchors his wandering soul.,🎸🎤💍💊🔥🥃🤠🇺🇸🚂💔,"A chronicle of the rise of a country music legend and his volatile journey through fame, addiction, and a transformative romance.",https://www.youtube.com/embed/jQ5lPt9edzQ,not verified
The Children's Hour,Drama,1961-12-19,United Artists,83,N/A,A child's fabrication ignites a firestorm of suspicion that dismantles lives in a rigid society.,🏫👧🤐💔🏛️🏚️🔥👩‍❤️‍👩⚖️🥀,Two headmistresses at a private school for girls find their lives and careers destroyed after a malicious student accuses them of having a forbidden relationship.,https://www.youtube.com/embed/kRzM9zFst3o,not verified
Days of Wine and Roses,"Drama, Romance",1962-12-26,Warner Bros.,83,N/A,A shared ritual of liquid solace slowly transforms a bright future into a blurred and bitter descent.,🍷🥃🏢📉🌧️💔🏚️🍸🍼🌩️,An advertising executive and his naive wife descend into a harrowing cycle of alcoholism that threatens to destroy their marriage and their lives.,https://www.youtube.com/embed?listType=search&list=Days+of+Wine+and+Roses+1962+Official+Trailer,not verified
Joji,"Crime, Drama, Thriller",2021-04-07,Bhavana Studios,83,N/A,"A patriarch's sudden frailty ignites a quiet, cold-blooded descent into greed and domestic betrayal.",🌲🏠💊🐎⛈️⚖️🧤💀🐍😷,"Inspired by Shakespeare's Macbeth, a failed engineering dropout finds a dark path to fortune following his wealthy father's stroke.",https://www.youtube.com/embed?listType=search&list=Joji+2021+Official+Trailer,not verified
Ocean's Eleven,"Heist, Crime, Comedy",2001-12-07,Warner Bros. Pictures,83,N/A,A charismatic ensemble orchestrates a sophisticated triple-vault bypass beneath the flashing lights of a desert oasis.,🎰🃏💰🕶️🏙️🍸🤵‍♂️🕴️🎭🏦,A sophisticated thief rounds up a crew of ten specialists to rob three major Las Vegas casinos simultaneously during a high-profile boxing match.,https://www.youtube.com/embed/imm6OR605UI,not verified
Finding Neverland,"Biography, Drama, Family",2004-11-12,Miramax Films,83,N/A,A playwright finds the spark of immortality through the eyes of a fatherless family and their backyard adventures.,🧚‍♂️✨🖋️🎩🧒🎭🏴‍☠️🏠⏳💭,The story of Sir James Matthew Barrie's friendship with a family who inspired him to create Peter Pan.,https://www.youtube.com/embed?listType=search&list=Finding+Neverland+2004+Official+Trailer,not verified
The Motorcycle Diaries,"Adventure, Biography, Drama",2004-09-24,FilmFour,83,N/A,Two friends traverse a continent on a sputtering engine only to find their souls ignited by the injustices of the land.,🏍️🏔️🗺️👨‍⚕️💉🛶🤝🔥✊🌅,"A biopic about the journey and written memoir of the 23-year-old Ernesto Guevara, who would several years later become known as the iconic Marxist guerrilla leader and revolutionary Che Guevara.",https://www.youtube.com/embed/RWBS2N9L_vY,not verified
Taste of Cherry,Drama,1997-05-16,Abbas Kiarostami Productions,83,N/A,"A man drives through the dusty hills seeking a stranger willing to perform one final, earthbound favor.",🚗🪨🏜️🍒🌅🤝💀⏳🏔️⌛,A man navigates the arid outskirts of Tehran in search of an individual who will assist him in his final departure from the world.,https://www.youtube.com/embed/3oK-VqL5Y6E,not verified
Splendor in the Grass,"Drama, Romance",1961-10-10,Warner Bros.,83,N/A,Fragile youthful passions wither under the weight of repression and the inevitable march of time in the heartland.,🌾💔🌳🌪️🇺🇸🛁🏫😢🥀👒,"Set in Kansas in the late 1920s, a young couple struggles with their intense physical attraction and societal expectations, eventually leading to a mental breakdown and a bittersweet reconciliation with reality.",https://www.youtube.com/embed/TfE7p8UfGIs,not verified
The Girl Who Leapt Through Time,"Animation, Science Fiction, Romance, Drama",2006-07-15,Madhouse,83,N/A,"A single reckless jump can rewrite the sunset, but some moments are meant to be lost to the current of the future.",🕰️🏃‍♀️🚲🏫⌛🍑☀️🚂💔🌅,"After acquiring the ability to rewind time by physically leaping, a high school student attempts to fix trivial inconveniences and find the perfect summer day, only to realize that every alteration carries a heavy price.",https://www.youtube.com/embed?listType=search&list=The+Girl+Who+Leapt+Through+Time+2006+Official+Trailer,not verified
Guru,"Drama, Biography, Romance",2007-01-12,Madras Talkies,83,N/A,A humble villager weaves a massive textile empire from pure ambition and audacity while defying the established economic order.,📈💰🏭👔🇮🇳🚶‍♂️⚖️💼🏔️🔥,A biographical drama inspired by the life of a visionary businessman who rose from a small village to create one of the largest industrial conglomerates in his country.,https://www.youtube.com/embed?listType=search&list=Guru+2007+Official+Trailer,not verified
Watership Down,"Animation, Adventure, Drama, Fantasy",1978-10-19,Nepenthe Productions,83,N/A,A desperate exodus leads small creatures through a landscape of prophetic visions and savage survival.,🐇🩸🌅🗺️🐕🌪️🌲🌿👁️💀,A group of rabbits flee their doomed warren to find a legendary new home while facing brutal external threats and internal power struggles.,https://www.youtube.com/embed/fTst9Lcl_rI,not verified
The Hurricane,"Biography, Drama, Sport",1999-12-29,Universal Pictures,83,N/A,A warrior's greatest battle shifts from the canvas of a ring to the cold iron of a cell where truth is the only punch that counts.,🥊⚖️🔓🧱📜✊📖🥊⛓️🗽,"The story of Rubin 'Hurricane' Carter, a top-ranked middleweight boxer whose career was cut short by a wrongful conviction for a triple murder in a New Jersey bar.",https://www.youtube.com/embed/yY8vD6uP6_M,not verified
The Wave,"Action, Drama, Thriller",2015-08-28,Fantefilm,83,N/A,A silent shift in the mountain triggers a race against a countdown that ends in an unstoppable wall of water.,🌊🏔️⏳🔔🆘🏚️🌊👨‍👩‍👧‍👦⏱️🏔️,"A geologist tries to save his family when a massive mountain pass collapses into a fjord, creating a devastating tsunami.",https://www.youtube.com/embed/SshZ0mF_9v0,not verified
Irudhi Suttru,"Sports, Drama, Action",2016-01-29,YNOT Studios,83,N/A,A cast-off trainer wagers his remaining pride on a volatile girl with raw power and a fierce heart.,🥊🔥💪👊👟🌊🏆🇮🇳😤🏅,A former boxer-turned-coach is reassigned to a remote training facility where he discovers a rebellious young woman with the innate ability to become a world champion.,https://www.youtube.com/embed?listType=search&list=Irudhi+Suttru+2016+Official+Trailer,not verified
Guy Ritchie's The Covenant,"Action, Drama, War",2023-04-21,Metro-Goldwyn-Mayer,83,N/A,A debt forged in the dust leads a survivor back into the furnace to rescue the one who refused to leave him behind.,🇦🇫🪖🤝🏔️🔫🔥🩹🚁🏜️🎖️,"In the heat of the Afghan war, an interpreter risks everything to carry a wounded sergeant through miles of treacherous terrain, sparking a bond that transcends borders and military duty.",https://www.youtube.com/embed/02PPMPArNEQ,not verified
The Collector,"Psychological Thriller, Drama",1965-06-17,Columbia Pictures,83,N/A,A hobbyist utilizes newly acquired capital to facilitate a long-term confinement scenario in a secluded architectural setting.,🦋🏛️🔒🤫🕯️🇬🇧🖼️🤐🧐🌑,"Directed by William Wyler and based on the novel by John Fowles, the narrative documents the power dynamics established when an isolated individual restricts the movement of an art student within a fortified cellar.",https://www.youtube.com/embed/n_t2oM06604,not verified
The Legend of Drunken Master,"Action, Comedy",1994-02-03,Golden Harvest,83,N/A,A practitioner of unconventional martial arts becomes entangled in a conflict regarding the preservation of national cultural artifacts.,🥋🍶🐉🚂📦🏺🔥👊🏛️🥊,"Set in early 20th-century China, the narrative follows a martial artist who uses a specific rhythmic combat style to oppose the illicit exportation of historical relics.",https://www.youtube.com/embed?listType=search&list=The+Legend+of+Drunken+Master+1994+Official+Trailer,not verified
